H_L0.1_weight,HH_L0.1_mean,HH_L0.1_magnitude,HpHp_L0.1_mean,HpHp_L0.1_magnitude,label
1.06450312,374.3862561,526.29786,374.3862561,526.29786,1
2.801353178,89.93838685,108.1152784,89.93838685,108.1152784,1
7735.53852068854,73.9989240408872,95.2672071555002,74.0,95.2680429105164,0
108.9897932,172.1756169,317.8160767,186.316871,272.0409726,1
2232.71361381083,60.0,60.0,60.0,60.0,0
2994.2758816788,553.661870173435,553.661870173435,554.0,554.0,0
19.31455005,298.4008892,504.4008556,298.4008892,504.4008556,1
1.085864322,372.5743657,480.0543718,372.5743657,480.0543718,1
4.384854277,79.46694952,117.7847065,89.99999858,108.1665379,1
3.832900212,61.92063327,103.3641363,60.0,84.85281374,1
10.4537487,79.09927399,120.0100749,107.5919055,129.3057329,1
6.520420825,89.99999343,108.1665379,89.99999343,108.1665379,1
1.967117045,330.0,431.4904402,330.0,431.4904402,1
4188.9910306033,553.861021041063,553.861021041063,554.0,554.0,0
6623.08392113723,553.905233518903,553.905233518903,554.0,554.0,0
4955.20989073744,553.981642247401,553.981642247401,554.0,554.0,0
5024.42724772111,553.909979631866,553.909979631866,554.0,554.0,0
8.263503983,76.25253712,97.02808571,76.25253712,97.02808571,1
4364.83054547955,553.937414624576,553.937414624576,554.0,554.0,0
9.008930668,88.68723449,142.4809582,88.68721338,142.4809452,1
6159.91602705258,553.99210289927,553.99210289927,554.0,554.0,0
2.966600742,450.2939746,450.2939746,450.2939746,450.2939746,1
6381.20473690267,565.964502961404,565.964502961404,566.0,566.0,0
10.22909363,71.58099689,116.7490669,66.0,118.6149573,1
3.31942294,60.0,84.85281374,60.0,84.85281374,1
10.19621188,79.25214754,123.4622678,109.6788844,131.2324182,1
6283.42489448471,565.951200367732,565.951200367732,566.0,566.0,0
2.914286449,330.0,431.4904402,330.0,431.4904402,1
5.170661728,60.0,60.0,60.0,60.0,1
9.061848515,69.05055992,117.8132198,66.0,114.8327185,1
3238.70001955583,60.0,60.0,60.0,60.0,0
11.27835541,74.87477972,119.062572,66.0,115.846438,1
3.979817213,86.28971035,117.5196122,98.0,138.5929291,1
4.280983815,68.60377532,95.823701,60.0,84.85281374,1
6209.09570114478,60.0,60.0,60.0,60.0,0
5882.33283959151,565.965219809905,565.965219809905,566.0,566.0,0
6469.57866387411,553.924231651687,553.924231651687,554.0,554.0,0
8.623769968,68.77206371,118.7090707,66.0,119.9995295,1
6245.6949559301,73.9967396190469,73.9967396190469,74.0,74.0,0
6410.97587697683,553.940914690119,553.940914690119,554.0,554.0,0
6334.04934870464,553.943004312633,553.943004312633,554.0,554.0,0
4146.85058106976,553.961031747178,553.961031747178,554.0,554.0,0
3.572449562,330.0,431.4904402,330.0,431.4904402,1
8.935010093,76.85548995,126.10031,66.00000072,120.2554194,1
2.970393117,188.3274422,262.5951741,188.3274422,262.5951741,1
11.07842948,67.40611139,110.6597656,66.06295121,111.6610816,1
6356.17744554304,60.0,60.0,60.0,60.0,0
11.34288535,71.92670307,104.2552134,71.92670307,104.2552134,1
6053.1257543913,565.902906938026,565.902906938026,566.0,566.0,0
8.687514376,81.27774025,101.5719511,81.27774025,101.5719511,1
10.21213747,78.54073287,119.9167253,112.645786,132.9456884,1
6484.90562944227,553.984052860319,553.984052860319,554.0,554.0,0
6433.61494132857,565.900781895784,565.900781895784,566.0,566.0,0
1.958891159,88.49008921,107.2386564,88.47669197,107.2484226,1
9.0147524,76.87793368,124.6186594,66.0,118.4714249,1
6907.12873718886,553.925094012977,553.925094012977,554.0,554.0,0
6533.19552576629,553.883372728037,553.883372728037,554.0,554.0,0
1.402659376,89.96170218,108.170674,89.96170218,108.170674,1
5035.21352894274,60.0,60.0,60.0,60.0,0
13.09931939,70.35525446,114.4829892,85.02110664,126.3360503,1
2.028575173,221.516016,439.0159371,221.516016,439.0159371,1
6.321198466,62.58956982,91.43920893,60.0,84.85281374,1
11.60011839,80.82477479,127.9530364,99.63625884,138.4643943,1
6502.59460103856,553.890785481686,553.890785481686,554.0,554.0,0
2028.88191301731,60.0,60.0,60.0,60.0,0
6116.11516393884,565.91593252993,565.91593252993,566.0,566.0,0
2.058242906,330.0,431.4904402,330.0,431.4904402,1
3148.44414831088,60.0,60.0,60.0,60.0,0
3341.68401526718,60.0,60.0,60.0,60.0,0
8.183165851,60.0,84.85281374,60.0,84.85281374,1
4257.08103044858,553.790398538776,553.790398538776,554.0,554.0,0
4.417868727,89.99702992,108.1663934,89.99702992,108.1663934,1
12.70615815,69.38750179,101.6327838,69.38750179,101.6327838,1
2292.00770822156,60.0,60.0,60.0,60.0,0
5697.11590344897,553.898727939216,553.898727939216,554.000000000003,554.000000000003,0
2.872041145,102.0,144.2497834,102.0,144.2497834,1
4.145312472,89.99999999,108.1665383,89.99999999,108.1665383,1
13.70407046,68.01848633,117.9382921,66.0,118.4191779,1
