H_L0.1_weight,HH_L0.1_mean,HH_L0.1_magnitude,HpHp_L0.1_mean,HpHp_L0.1_magnitude,label
6379.57417132883,553.973528782345,553.973528782345,554.0,554.0,0
5.997724648,102.0,144.2497834,102.0,144.2497834,1
4048.33574316948,553.909667149252,553.909667149252,554.0,554.0,0
2247.85611695142,60.0,60.0,60.0,60.0,0
1.770501619,188.3789097,262.632088,188.3789097,262.632088,1
6098.37262011713,565.907149282319,565.907149282319,566.0,566.0,0
6473.81529269592,73.9989516249535,73.9989516249535,74.0,74.0,0
1993.93594431929,60.0,60.0,60.0,60.0,0
24.17558852,60.0,60.0,60.0,60.0,1
10.01872589,85.25790357,122.9063153,113.0884177,134.9053152,1
1.735993874,330.0,431.4904402,330.0,431.4904402,1
12.29925494,72.04341704,119.3512661,66.0,114.6063815,1
13.0321873,74.47175715,121.4461649,68.04078411,117.7686366,1
3.377182698,89.99985719,108.1665321,89.99985719,108.1665321,1
1.215786598,374.9726157,531.3831029,374.9726157,531.3831029,1
7759.36026304403,73.9993893698337,95.2675686008006,74.0,74.0,0
11.76958645,70.80280047,119.0683487,66.24632393,120.4593418,1
5499.96063966297,553.873234268894,553.873234268894,554.000000000002,554.000000000002,0
6.448772364,94.17606767,132.604789,98.0,138.5929291,1
3.251462268,437.2008919,437.2008919,437.2008919,437.2008919,1
2303.13511779151,60.0,60.0,60.0,60.0,0
9.915361217,67.82240734,115.9806913,66.0,121.5095321,1
4.358889363,65.23618391,131.2568737,60.0,84.85281374,1
1.738591746,102.0,144.2497834,102.0,144.2497834,1
70.3272721,164.9210465,309.5735508,69.99946615,101.8622858,1
6226.0262037973,565.888113722294,565.888113722294,566.0,566.0,0
5090.20883498555,553.81746179917,553.81746179917,553.999999999999,553.999999999999,0
6256.81716227793,60.0,60.0,60.0,60.0,0
2.93539593,61.28656388,86.67255339,60.0,84.85281374,1
8.211389315,68.02983201,118.7106395,66.36190452,121.3392235,1
6.283684558,102.0,144.2497834,102.0,144.2497834,1
19.212823,73.78163441,100.2262191,73.78163441,100.2262191,1
3.474430023,74.07356157,104.7619247,60.0,84.85281374,1
29.02003695,89.99999349,108.1665379,89.99999349,108.1665379,1
1966.09707360946,60.0,60.0,60.0,60.0,0
6363.90186946926,565.915124702928,565.915124702928,566.0,566.0,0
39.97284012,150.6910202,325.4204235,69.99899063,101.861959,1
10.84088012,67.92620264,113.4058338,66.0000006,115.4343508,1
6.037312301,133.7986184,226.6959865,133.7986184,226.6959865,1
6476.70182496493,60.0,60.0,60.0,60.0,0
5.899612142,102.0,144.2497834,102.0,144.2497834,1
3.466190388,84.01679187,107.2659534,98.0,138.5929291,1
2992.9597883433,60.0,60.0,60.0,60.0,0
11.81817292,69.51521689,102.5245131,69.51521689,102.5245131,1
4075.33373981417,60.0,60.0,60.0,60.0,0
7532.6481305088,73.9976240770249,95.2661974104389,74.0,95.2680429105164,0
3.811661709,102.0,144.2497834,102.0,144.2497834,1
4.02865207,102.0,144.2497834,102.0,144.2497834,1
6595.60592654788,73.9990277797599,73.9990277797599,74.0,74.0,0
6298.52063271393,60.0,60.0,60.0,60.0,0
3.315230124,188.4419204,262.6772875,188.4419204,262.6772875,1
93.972596,175.1874009,310.4684645,286.7371293,296.1320336,1
57.99176018,60.0,60.0,60.0,60.0,1
8.196506362,76.24999054,97.02608442,76.24999054,97.02608442,1
5.82768827,102.0,144.2497834,102.0,144.2497834,1
6323.170679937,565.965182779946,565.965182779946,566.0,566.0,0
9.190300603,79.22372874,122.7084763,95.97610379,133.4187662,1
3755.47543235783,60.0,60.0,60.0,60.0,0
9.603544081,71.87409152,103.1595126,71.20337673,102.693334,1
4.402697465,209.7590811,230.2369976,362.0,362.0,1
1.64306748,73.0,137.0583817,73.0,73.0,1
3796.02783772527,553.658288601967,553.658288601967,554.0,554.0,0
5902.13666869606,60.0,60.0,60.0,60.0,0
6.882460244,93.22779745,131.1502894,98.0,138.5929291,1
6415.00499220019,553.960960933157,553.960960933157,554.0,554.0,0
1.457114211,350.0804055,504.4796192,350.0804055,504.4796192,1
6000.97466432902,565.866687936443,565.866687936443,566.0,566.0,0
10.36577101,72.19971532,118.1829553,66.00015593,115.5230043,1
7389.78635513293,73.9976683652371,95.2662318111281,74.0,74.0,0
3.19945799,74.0,1340.276354,74.0,74.0,1
6653.95625390746,73.9975730587044,95.2661577821753,74.0,74.0,0
6.979534908,67.83221873,92.55982585,73.0,73.0,1
6652.73121319707,60.0,60.0,60.0,60.0,0
11.30033151,76.35298341,117.6142438,66.00000357,117.9100072,1
4981.20956939345,60.0,60.0,60.0,60.0,0
1997.78117748269,60.0,60.0,60.0,60.0,0
6319.77238779988,553.984157706436,553.984157706436,554.0,554.0,0
1957.12077573472,60.0,60.0,60.0,60.0,0
9.837293704,79.57056605,122.0422698,66.0,118.0073231,1
6437.38839984193,553.899710584811,553.899710584811,554.0,554.0,0
1.795300199,89.99999858,108.166538,89.99999858,108.166538,1
2848.99134151572,60.0,60.0,60.0,60.0,0
5.949044973,60.0,60.0,60.0,60.0,1
49.10111138,169.98908,344.9929727,210.3733045,312.6457416,1
