MI_dir_L0.1_weight,MI_dir_L0.1_mean,MI_dir_L0.1_variance,H_L0.1_weight,H_L0.1_mean,Attack
6620.13916658644,69.4297146194771,43.2040810489389,6620.13916658644,69.4297146194771,2
777.521768383031,75.0981852148364,366.258829407765,777.521768383031,75.0981852148364,1
6362.19567208621,383.73890846344,55117.547281044,6362.19567208621,383.73890846344,2
5440.33439482568,406.90990015645,51023.8159901381,5440.33439482568,406.90990015645,2
7570.79837768131,74.1861339319453,84.3321733394596,7570.79837768131,74.1861339319453,1
751.969541062584,76.7226485892633,1809.71758043297,751.969541062584,76.7226485892633,1
6569.40000162793,435.604037872606,44469.4765996438,6569.40000162793,435.604037872606,2
6256.15957765854,385.286692855864,54877.5249913215,6256.15957765854,385.286692855864,2
6273.07071086938,424.554825403707,47132.3240512231,6273.07071086938,424.554825403707,2
8.346003143,78.2268368,214.0313758,8.346003143,78.2268368,0
1187.22549872233,80.2100691074236,4751.49147251388,1187.22549872233,80.2100691074236,1
3462.94450101617,74.1724695093585,36.1805122532123,3462.94450101617,74.1724695093585,1
2193.05393086683,74.0597612416266,1.51673999742434,2193.05393086683,74.0597612416266,1
6227.47993871335,423.072002621849,47532.5821674021,6227.47993871335,423.072002621849,2
3167.60755679359,302.585706384202,60958.7486427036,3167.60755679359,302.585706384202,2
9.50693632,68.83703081,242.5626722,9.50693632,68.83703081,0
5451.81505234333,74.087493419449,13.9421062941292,5451.81505234333,74.087493419449,1
6762.5064766105,74.1335868302404,39.9715386650787,6762.5064766105,74.1335868302404,1
11.58725105,80.70212123,7058.488853,11.58725105,80.70212123,0
3.11014808,373.8336948,22024.39491,3.11014808,373.8336948,0
2.231763814,68.09263579,81.86204271,2.231763814,68.09263579,0
809.079496856242,74.9030464361492,221.705585977413,809.079496856242,74.9030464361492,1
6625.49452493328,425.829579070473,46785.8261521818,6625.49452493328,425.829579070473,2
6432.77545170896,74.7856353286483,581.883928045295,6432.77545170896,74.7856353286483,1
6.331494629,97.56923957,158.3706672,6.331494629,97.56923957,0
46.51601264,124.0947231,36456.72013,46.51601264,124.0947231,0
2.224986821,239.7960059,20170.76633,2.224986821,239.7960059,0
4305.8794229258,436.382846916743,48781.3396434904,4305.8794229258,436.382846916743,2
9.22905559,69.39311603,110.957311,9.22905559,69.39311603,0
5730.27692681391,380.232440938813,55643.592050215,5730.27692681391,380.232440938813,2
7770.09182056213,74.292232037661,197.881690330763,7770.09182056213,74.292232037661,1
7500.41759783241,74.0696409320606,11.2933368017912,7500.41759783241,74.0696409320606,1
3548.56004669336,320.010774230661,63932.9981982777,3548.56004669336,320.010774230661,2
5501.20284672182,74.7968148057971,586.808400705558,5501.20284672182,74.7968148057971,1
6459.62038831884,70.6081076017003,36.0116356046055,6459.62038831884,70.6081076017003,2
7756.09856067063,74.4434079669041,304.022740763237,7756.09856067063,74.4434079669041,1
